"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"sharedServices",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices",".1.3.6.1.4.1.4329.2.45",,,"","SharedServices-MIB",""
"nodeGroup",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup",".1.3.6.1.4.1.4329.2.45.1",,,"","SharedServices-MIB",""
"numberOfNodeEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.numberOfNodeEntries",".1.3.6.1.4.1.4329.2.45.1.1","INTEGER","read-only","","SharedServices-MIB","The number of entries in the node table."
"numberOfNodeTraps",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.numberOfNodeTraps",".1.3.6.1.4.1.4329.2.45.1.2","INTEGER","read-only","","SharedServices-MIB","The number of traps which were sent to signal status changes of the nodes."
"nodeTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable",".1.3.6.1.4.1.4329.2.45.1.3","SEQUENCE OF NodeTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the contents of node entries. A node is a physical machine hosting one or more containers."
"nodeTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry",".1.3.6.1.4.1.4329.2.45.1.3.1","NodeTableEntry","not-accessible","nodeGuid","SharedServices-MIB","The node table entries."
"nodeGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeGuid",".1.3.6.1.4.1.4329.2.45.1.3.1.1","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the node."
"nodeDisplayName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeDisplayName",".1.3.6.1.4.1.4329.2.45.1.3.1.2","OCTET STRING","read-only","","SharedServices-MIB","The nodename."
"nodeIpAddress",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeIpAddress",".1.3.6.1.4.1.4329.2.45.1.3.1.3","OCTET STRING","read-only","","SharedServices-MIB","The ip address of the node."
"nodeDescription",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeDescription",".1.3.6.1.4.1.4329.2.45.1.3.1.4","OCTET STRING","read-only","","SharedServices-MIB","A description of the node."
"nodeContact",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeContact",".1.3.6.1.4.1.4329.2.45.1.3.1.5","OCTET STRING","read-only","","SharedServices-MIB","The responsible administrator."
"nodeLocation",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeLocation",".1.3.6.1.4.1.4329.2.45.1.3.1.6","OCTET STRING","read-only","","SharedServices-MIB","The location of the node."
"nodeStatus",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeStatus",".1.3.6.1.4.1.4329.2.45.1.3.1.7","OCTET STRING","read-only","","SharedServices-MIB","The status of the node. Possible values are:normal, warning, critical."
"nodeArchitecture",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeArchitecture",".1.3.6.1.4.1.4329.2.45.1.3.1.8","OCTET STRING","read-only","","SharedServices-MIB","The architecture of the node, e.g. x86, sunUltra, ..."
"nodeOsName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeOsName",".1.3.6.1.4.1.4329.2.45.1.3.1.9","OCTET STRING","read-only","","SharedServices-MIB","The name of the operating system, e.g. Windows, Linux, ..."
"nodeOsVersion",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeOsVersion",".1.3.6.1.4.1.4329.2.45.1.3.1.10","OCTET STRING","read-only","","SharedServices-MIB","The version of the operating system."
"nodeSnmpAgentVersion",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeSnmpAgentVersion",".1.3.6.1.4.1.4329.2.45.1.3.1.11","OCTET STRING","read-only","","SharedServices-MIB","The version of the SNMP agent."
"nodeMibVersion",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeMibVersion",".1.3.6.1.4.1.4329.2.45.1.3.1.12","OCTET STRING","read-only","","SharedServices-MIB","The version of the Management Information Base."
"nodeMgmtURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeMgmtURL",".1.3.6.1.4.1.4329.2.45.1.3.1.13","OCTET STRING","read-only","","SharedServices-MIB","Points to a page with gives access to the configuration manager of the node if available."
"nodeDocURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeDocURL",".1.3.6.1.4.1.4329.2.45.1.3.1.14","OCTET STRING","read-only","","SharedServices-MIB","Points to the documentation."
"nodeIconURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeIconURL",".1.3.6.1.4.1.4329.2.45.1.3.1.15","OCTET STRING","read-only","","SharedServices-MIB","Points to a file, which describes the location of the shape and the pixmaps for the icons to be used to display the node on the desktop map."
"numberOfNodeContainerEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.numberOfNodeContainerEntries",".1.3.6.1.4.1.4329.2.45.1.4","INTEGER","read-only","","SharedServices-MIB","The number of containers which are hosted by the nodes."
"nodeContainerTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeContainerTable",".1.3.6.1.4.1.4329.2.45.1.5","SEQUENCE OF NodeContainerTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the containers which are hosted by the nodes."
"nodeContainerTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeContainerTable.nodeContainerTableEntry",".1.3.6.1.4.1.4329.2.45.1.5.1","NodeContainerTableEntry","not-accessible","nodeAssocNodeGuid, nodeAssocContainerGuid","SharedServices-MIB","The associated containers."
"nodeAssocNodeGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeContainerTable.nodeContainerTableEntry.nodeAssocNodeGuid",".1.3.6.1.4.1.4329.2.45.1.5.1.1","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the node."
"nodeAssocContainerGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeContainerTable.nodeContainerTableEntry.nodeAssocContainerGuid",".1.3.6.1.4.1.4329.2.45.1.5.1.2","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the associated container."
"nodeAssocContainerDisplayName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeContainerTable.nodeContainerTableEntry.nodeAssocContainerDisplayName",".1.3.6.1.4.1.4329.2.45.1.5.1.3","OCTET STRING","read-only","","SharedServices-MIB","The display name of the associated container."
"applicationGroup",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup",".1.3.6.1.4.1.4329.2.45.2",,,"","SharedServices-MIB",""
"numberOfApplicationEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.numberOfApplicationEntries",".1.3.6.1.4.1.4329.2.45.2.1","INTEGER","read-only","","SharedServices-MIB","The number of entries in the application table."
"numberOfApplicationTraps",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.numberOfApplicationTraps",".1.3.6.1.4.1.4329.2.45.2.2","INTEGER","read-only","","SharedServices-MIB","The number of traps which were sent to signal status changes of the applications."
"applicationTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable",".1.3.6.1.4.1.4329.2.45.2.3","SEQUENCE OF ApplicationTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the contents of application entries. Applications use services which are deployed to the nodes."
"applicationTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry",".1.3.6.1.4.1.4329.2.45.2.3.1","ApplicationTableEntry","not-accessible","applicationGuid","SharedServices-MIB","The application table entries."
"applicationGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationGuid",".1.3.6.1.4.1.4329.2.45.2.3.1.1","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the application."
"applicationDisplayName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationDisplayName",".1.3.6.1.4.1.4329.2.45.2.3.1.2","OCTET STRING","read-only","","SharedServices-MIB","The display name of the application."
"applicationDescription",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationDescription",".1.3.6.1.4.1.4329.2.45.2.3.1.3","OCTET STRING","read-only","","SharedServices-MIB","A description of the application."
"applicationVersion",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationVersion",".1.3.6.1.4.1.4329.2.45.2.3.1.4","OCTET STRING","read-only","","SharedServices-MIB","The version of the application."
"applicationContact",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationContact",".1.3.6.1.4.1.4329.2.45.2.3.1.5","OCTET STRING","read-only","","SharedServices-MIB","The responsible administrator."
"applicationStatus",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationStatus",".1.3.6.1.4.1.4329.2.45.2.3.1.6","OCTET STRING","read-only","","SharedServices-MIB","The status of the application. Possible values are:normal, warning, critical."
"applicationMgmtURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationMgmtURL",".1.3.6.1.4.1.4329.2.45.2.3.1.7","OCTET STRING","read-only","","SharedServices-MIB","Points to an page with gives access to the configuration manager of the component if available."
"applicationDocURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationDocURL",".1.3.6.1.4.1.4329.2.45.2.3.1.8","OCTET STRING","read-only","","SharedServices-MIB","Points to the documentation"
"applicationIconURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationTable.applicationTableEntry.applicationIconURL",".1.3.6.1.4.1.4329.2.45.2.3.1.9","OCTET STRING","read-only","","SharedServices-MIB","Points to a file, which describes the location of the shape and the pixmaps for the icons to be used to display the application on the desktop map."
"numberOfApplicationServiceEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.numberOfApplicationServiceEntries",".1.3.6.1.4.1.4329.2.45.2.4","INTEGER","read-only","","SharedServices-MIB","The number of services which are used by the application."
"applicationServiceTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationServiceTable",".1.3.6.1.4.1.4329.2.45.2.5","SEQUENCE OF ApplicationServiceTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the services which are used by the applications."
"applicationServiceTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationServiceTable.applicationServiceTableEntry",".1.3.6.1.4.1.4329.2.45.2.5.1","ApplicationServiceTableEntry","not-accessible","applicationAssocApplicationGuid, applicationAssocServiceGuid","SharedServices-MIB","The associated services."
"applicationAssocApplicationGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationServiceTable.applicationServiceTableEntry.applicationAssocApplicationGuid",".1.3.6.1.4.1.4329.2.45.2.5.1.1","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the application."
"applicationAssocServiceGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationServiceTable.applicationServiceTableEntry.applicationAssocServiceGuid",".1.3.6.1.4.1.4329.2.45.2.5.1.2","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the associated service."
"applicationAssocServiceDisplayName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.applicationGroup.applicationServiceTable.applicationServiceTableEntry.applicationAssocServiceDisplayName",".1.3.6.1.4.1.4329.2.45.2.5.1.3","OCTET STRING","read-only","","SharedServices-MIB","The display name of the associated service."
"containerGroup",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup",".1.3.6.1.4.1.4329.2.45.3",,,"","SharedServices-MIB",""
"numberOfContainerEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.numberOfContainerEntries",".1.3.6.1.4.1.4329.2.45.3.1","INTEGER","read-only","","SharedServices-MIB","The number of entries in the container table."
"numberOfContainerTraps",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.numberOfContainerTraps",".1.3.6.1.4.1.4329.2.45.3.2","INTEGER","read-only","","SharedServices-MIB","The number of traps which were sent to signal status changes of the containers."
"containerTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable",".1.3.6.1.4.1.4329.2.45.3.3","SEQUENCE OF ContainerTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the contents of container entries. Containers are installed on the nodes. Services are deployed to containers."
"containerTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry",".1.3.6.1.4.1.4329.2.45.3.3.1","ContainerTableEntry","not-accessible","containerGuid","SharedServices-MIB","The container table entries."
"containerGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry.containerGuid",".1.3.6.1.4.1.4329.2.45.3.3.1.1","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the container."
"containerNodeGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry.containerNodeGuid",".1.3.6.1.4.1.4329.2.45.3.3.1.2","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the node where the container is installed."
"containerDisplayName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry.containerDisplayName",".1.3.6.1.4.1.4329.2.45.3.3.1.3","OCTET STRING","read-only","","SharedServices-MIB","The display name of the container."
"containerStatus",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry.containerStatus",".1.3.6.1.4.1.4329.2.45.3.3.1.4","OCTET STRING","read-only","","SharedServices-MIB","The status of the container. Possible values are:normal, warning, critical."
"containerVersion",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry.containerVersion",".1.3.6.1.4.1.4329.2.45.3.3.1.5","OCTET STRING","read-only","","SharedServices-MIB","The version of the container."
"containerMgmtURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry.containerMgmtURL",".1.3.6.1.4.1.4329.2.45.3.3.1.6","OCTET STRING","read-only","","SharedServices-MIB","Points to an page with gives access to the configuration manager of the container if available."
"containerDocURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry.containerDocURL",".1.3.6.1.4.1.4329.2.45.3.3.1.7","OCTET STRING","read-only","","SharedServices-MIB","Points to the documentation"
"containerIconURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerTable.containerTableEntry.containerIconURL",".1.3.6.1.4.1.4329.2.45.3.3.1.8","OCTET STRING","read-only","","SharedServices-MIB","Points to a file, which describes the location of the shape and the pixmaps for the icons to be used to display the container on the desktop map."
"numberOfContainerServiceEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.numberOfContainerServiceEntries",".1.3.6.1.4.1.4329.2.45.3.4","INTEGER","read-only","","SharedServices-MIB","The number of services which are deployed to the containers."
"containerServiceTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.containerGroup.containerServiceTable",".1.3.6.1.4.1.4329.2.45.3.5","SEQUENCE OF ContainerServiceTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the services which are deployed to the containers."
